[SETTINGS]
start	2
#scene list
[SCENES]
1	scene1.txt
2	scene2.txt
3 	scene3.txt
4	scene4.txt
5	scene5.txt
6	scene6.txt
[TEXTURES]
0	resources\simon.png	116	116	116
10	resources\Objects.png	116	116	116
30	resources\whip.png	255	0	255
-1	resources\Board.png	5	5	5
[SPRITES]
#small
22003	157	1	165	17	10
22004	166	1	174	17	10
#effect
22005	455	123	467	163	0
22006	470	123	482	163	0
22007	485	123	497	163	0
#================= SIMON ================
#idle
50000	15	21	31	51	0
#walking 
50001	56	21	72	51	0
50002	100	20	112	51	0
50003	141	21	156	51	0
#jump 
50004	197	21 	213 	51	0
#sit 
50005	197	21 	213 	51	0
#attack
51001	14	78	32	108	0
51002	58	78	74	108	0
51003	105	78	120	108	0
#sit attack
52001	13	139	30	169	0
52002	57	139	74	169	0
52003	106	139	123	169	0
#go upstair
53001	169	78	184	109	0
53002	233	78	248	109	0
#stop upstair
53003	169	78	184	109	0
#go downstair
53011	172	138	188	169	0
53012	235	137	251	168	0
#stop downstair
53013	172	138	188	169	0
#attack upstair
54001	14	211	30	242	0
54002	60	208	76	239	0
54003	108	209	124	240	0
#attack downstair
54011	12	277	30	308	0
54012	58	276	77	307	0
54013	104	274	122	305	0
#change color
54014	437	21	453	51	0
54015	389	21	405	51	0
54016	352	21	368	51	0
#throw
54017	10	78	40	108	0
54018	51	78	73	108	0
54019	98	78	120	108	0
#throw upstair
54020	14	211	32	242	0
54021	60	208	78	239	0
54022	108	209	126	240	0
#throw downstair
54023	12	277	30	308	0
54024	58	276	77	307	0
54025	104	274	122	305	0
#die
54026	225	208	257	223	0
#deflect
55000	175	210	191	239	0
#============ ITEM_BigHeart ==============
40001	29	6	41	16	10
#============== ITEM_Chain ===============
40002	1	1	17	17	10
#============= ITEM_Dagger ===============
40003	1	22	17	31	10
#============= ITEM_SmallHeart ===========
40015	18	1	26	9	10
#============= ITEM_MONEY_BAG ===========
#red
40016	45	1	60	16	10
#purple
40017	62	1	77	16	10
#yellow
40018	79	1	94	16	10
#============= ITEM_HOLYWATER ============
40019	35	18	51	34	10
#============= ITEM_AXE ==================
40020	18	18	33	32	10
#============= ITEM_WATCH ==================
40021	104	18	119	34	10
#============= HOLYWATER-WEAPON ===========
#state1
40022	297	132	305	140	0
#state2
40023	333	126	349	140	0
40024	351	124	365	140	0
#============= AXE-WEAPON ================
40025	460	75	475	89	0
40026	478	75	493	89	0
40027	495	77	510	91	0
40028	511	77	526	91	0
#================= WHIP ==================
#normal
30001	0	0	120	32	30
30002	120	0	240	32	30
30003	240	0	360	32	30
#short chain
31001	0	33	120	65	30
31002	120	33	240	65	30
31003	240	33	360	65	30
#long chain
32001	0	66	120	98	30
32002	120	66	240	98	30
32003	240	66	360	98	30
#================= BOARD ==================
70000	0	0	272	35	-1
# Number
77000	6	81	12	87	-1
77001	14	81	20	87	-1
77002	21	81	27	87	-1
77003	28	81	35	87	-1
77004	36	81	42	87	-1
77005	43	81	50	87	-1
77006	51	81	57	87	-1
77007	58	81	65	87	-1
77008	66	81	72	87	-1
77009	73	81	80	87	-1
77010	77	81	83	87	-1
# Health point
77101	123	69	127	77	-1
77102	132	69	137	77	-1
77103	142	69	146	77	-1
[ANIMATIONS]
#================= CANDLE ================
#small
202	22003	150	22004	150
#destroyed
203	22005	100	22006	100	22007	100
#================= SIMON ================
#idle 
900	50000	100
#walking 
901	50001	100	50002	100	50003	100
#jump 
902	50004	100
#sit 
903	50005	100
#attack 
914	51001	100	51002	100	51003	100
#sit attack
915	52001	100	52002	100	52003	100
#go upstair
916	53001	100	53002	100
#stop upstair
917	53003	100
#go downstair
918	53011	100	53012	100
#stop downstair
919	53013	100
#attack upstair
920	54001	100	54002	100	54003	100
#attack downstair
921	54011	100	54012	100	54013	100
#deflect
922	55000	100
#change color
923	54014	100	54015	100	54016	100
#throw
924	54017	100	54018	100	54019	100
#throw upstair
925	54020	100	54021	100	54022	100
#throw downstair
926	54023	100	54024	100	54025	100
#die
927	54026	100
#================= WHIP ==================
#normal whip
300	30001	100	30002	100	30003	100
#short chain
310	31001	100	31002	100	31003	100
#long chain
320	32001	100	32002	100	32003	100
# ================== ITEMS ================
# Big Heart
401	40001	100
# Chain
402	40002	100
# Dagger
403	40003	100
# smallheart
415	40015	100
#money bag
#red
416	40016	100
#purple
417	40017	100
#yellow
418	40018	100
#holywaterItem
419	40019	100
#axeItem
420	40020	100
#watchItem
421	40021	100
#holywaterWeapon
#state1
422	40022	100
#state2
423	40023	100	40024	100
#axeWeapon
424	40025	100	40026	100	40027	100	40028	100
[ANIMATIONS_SETS]
# CANDLE
2	201	202	203
# SIMON
0	900	901	902	903	914	915	916	917	918	919	920	921	922	923	924	922	925	926	927
# WHIP
3	300	310	320
#ITEMS
#BigHeart
41	401
#Chain
42	402
#Dagger
43	403
#SmallHeart
46	415
#moneybag
47	416	417	418
#holywaterItem
51	419
#axeItem
52	420
#axeItem
53	421
#holywaterWeapon
54	422	423
#axeWeapon
55	424
