# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\simon.png	255	0	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\bbox.png 	0	0	0
40	textures\object.png 	255	0	255
123	textures\tilesheet.png	0	0	0	11	13
# id	left	top	right	bottom	texture_id
[SPRITES]
#TORCH	
50000	48	24	64	56	40
50001	75	24	91	56	40
# SIMON
# idle 
10011	81	10	97	40	0
#walk
10012	110	10	122	40	0
10013	136	10	151	40	0
#sit
10014	164	10	180	40	0
#jump
10015	164	7	180	40	0
#hit
10016	61	53	85	83	0
10017	109	53	125	81	0
10018	153	54	175	83	0
#sit and hit
10019	21	332	53	363	0
10020	65	336	97	359	0
10021	131	338	175	360	0
#BRICK
20001	0	176	16	192	30
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20
						
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== TORCH =========
101	50000	100	50001	100
# ==== SIMON =========
#idle 
401	10011	100
#walk 
501	10011	100	10012	100	10013	100
#sit
502	10014	100
#jump
503	10015	100
#hit
504	10016	100	10017	100	10018	100
#sit and hit
505	10019	100	10020	100	10021	100
# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100


# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100



#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#TORCH
4	101
# SIMON
1	401	501	502	503	504	505
# BRICK 
2	601
# QUESTION MARK BRICK 
22	602
# GOOMBA
3	701	702
#TORCH 
4	101

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Brick, 2 = Goomba, 4 = Torch
#TORCH
4	88	112	4
4	216	112	4
4	344	112	4
4	480	112	4
4	600	112	4
# SIMON
0	50.0	0	1

# GOOMBA
2	200	135	3
2	260	135	3
2	304	135	3
2	480	135	3
2	500	135	3

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	148	2
1	16	148	2
1	32	148	2
1	48	148	2
1	64	148	2
1	80	148	2
1	96	148	2
1	112	148	2
1	128	148	2
1	144	148	2
1	160	148	2
1	176	148	2
1	192	148	2
1	208	148	2
1	224	148	2
1	240	148	2
1	256	148	2
1	272	148	2
1	288	148	2
1	304	148	2
1	320	148	2
1	336	148	2
1	352	148	2
1	368	148	2
1	384	148	2
1	400	148	2
1	416	148	2
1	432	148	2
1	448	148	2
1	464	148	2
1	480	148	2
1	496	148	2
1	512	148	2
1	528	148	2
1	544	148	2
1	560	148	2
1	576	148	2
1	592	148	2
1	608	148	2
1	624	148	2
1	640	148	2
1	656	148	2
1	672	148	2
1	688	148	2
1	704	148	2
1	720	148	2
1	736	148	2
1	752	148	2

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	752	98	0	768	150	2

[MAP]
0	0	1	2	1	2	1	2	1	2	1	2	0	0	0	0	0	0	1	2	1	2	1	2	3	4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	6	7	8	9	8	9	10	11
12	13	14	15	14	15	14	15	14	15	14	15	16	16	16	16	12	13	14	15	14	15	14	15	17	18	19	18	20	16	16	16	16	16	16	16	16	16	16	16	21	22	23	24	25	24	26	27
28	29	28	29	28	29	28	29	28	29	28	29	30	31	30	31	28	29	28	29	28	29	28	29	32	33	34	33	35	36	37	36	37	36	37	36	37	36	37	36	38	39	40	41	42	41	43	44
45	46	47	48	45	46	45	46	45	46	45	46	14	15	14	15	45	46	47	48	45	46	45	46	49	50	51	50	52	18	19	18	19	18	19	18	53	54	55	54	56	23	57	58	59	60	61	62
28	29	63	64	28	29	28	29	28	29	28	29	28	29	28	29	28	29	63	64	28	29	28	29	32	33	34	33	34	33	34	33	34	33	34	33	65	66	67	66	68	69	70	71	40	41	72	11
47	48	68	68	47	48	47	48	47	48	47	48	47	48	47	48	47	48	68	68	47	48	47	48	73	74	75	74	75	74	75	74	75	74	75	74	76	68	68	68	68	77	78	62	77	60	26	27
63	64	79	80	63	64	63	64	63	64	63	64	63	64	63	64	63	64	79	80	63	64	63	64	67	66	67	66	67	66	67	66	67	66	67	66	81	82	68	68	68	69	72	11	40	41	43	44
83	84	85	86	68	68	83	84	83	84	68	68	83	84	68	68	83	84	85	86	68	68	83	84	87	88	68	68	89	88	68	68	68	68	68	68	90	91	68	68	68	69	92	93	69	94	95	27
96	97	98	99	100	100	96	97	96	97	101	100	96	97	101	100	96	97	98	99	100	100	96	97	102	103	104	105	102	103	104	105	105	105	106	107	108	109	110	111	112	113	114	115	116	117	118	44
119	120	121	122	123	123	124	120	124	120	123	123	124	120	123	123	124	120	121	122	123	123	124	120	125	126	127	128	129	126	127	128	128	128	130	131	132	133	134	135	136	137	138	139	140	141	142	128
68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68
